Variable,Coefficient,Std_Error,t_statistic,p_value
topic_130_lag1,0.18092767666611248,1.9171778021539232,0.09437188166003314,0.9248139871378368
topic_136_lag1,-0.17510087492183019,1.9171780107842071,-0.0913326117537758,0.9272285340320471
topic_0_lag1,-0.1589123821700997,0.6064236846291848,-0.26204844269443606,0.7932847681258023
topic_148_lag1,-0.13318855770771348,0.6778527542047994,-0.19648597262684173,0.8442303089614345
topic_318_lag1,-0.13268617420969264,1.9171780355618429,-0.06920910408344419,0.9448233490919562
topic_99_lag1,0.11556371079532915,0.49519719062461987,0.23336907596257198,0.8154754199252219
topic_22_lag1,-0.0795094477809596,0.4295411121482215,-0.18510323117458272,0.8531485355541325
topic_5_lag1,-0.07733790411615832,1.1072451429883612,-0.06984713783203406,0.9443155024167672
topic_35_lag1,0.06556401790008201,1.9171780107842862,0.03419819001223619,0.972719195000633
topic_184_lag1,-0.06457291388332154,1.917177408933551,-0.03368124075655621,0.973131422045207
topic_58_lag1,0.06396260048059525,0.8574447581190326,0.07459675958706578,0.9405357385416745
topic_372_lag1,0.05968009992967799,0.8574998461313116,0.06959779666309,0.9445139642885306
C(ticker)[T.MS],0.05313449275946133,0.0489384990583147,1.0857401387841243,0.27759724175781536
C(ticker)[T.BCMXY],0.04727186028900171,0.0711689202572215,0.6642205631074618,0.5065510646480404
C(ticker)[T.GS],0.046294892190576205,0.04896999061430005,0.9453726988678924,0.344471484462946
topic_16_lag1,-0.04523759721104936,1.9171782822148902,-0.02359592617478797,0.981174980417041
C(ticker)[T.JPM],0.03941744405099866,0.04897880129479442,0.8047858054702542,0.420945680860555
topic_115_lag1,-0.03805903514397545,0.5318505487941485,-0.07155964251661627,0.9429525368110293
C(ticker)[T.BK],0.03212666856038347,0.04891971782456759,0.6567222786442442,0.5113613917582913
C(ticker)[T.BAC],0.02837999046761096,0.0489517568667015,0.5797542781741488,0.562081963786275
C(ticker)[T.SCBFF],0.02738658137902749,0.05171353894158204,0.5295824254063257,0.5964029485857696
Intercept,0.02706284417469434,0.03460136059859965,0.7821323701296764,0.4341390948793678
C(ticker)[T.MUFG],0.024468332401392325,0.04891630471017269,0.5002081115155017,0.6169299204240043
C(ticker)[T.C],0.02396855183894506,0.048946671520042596,0.4896870633814285,0.6243566974303568
C(ticker)[T.ING],0.021331202826338245,0.04891652765299614,0.4360735287193205,0.6627845566513813
C(ticker)[T.SMFG],0.018174753036358574,0.04895730195176628,0.37123681885624965,0.7104621329162939
C(ticker)[T.STT],0.01727146544804136,0.048925903940520814,0.3530126999602965,0.7240798476777073
topic_10_lag1,-0.016658940380863532,1.9171786062760423,-0.00868930016552924,0.9930670504197464
C(ticker)[T.RY],0.014069206515881283,0.04892508341911474,0.2875663265682758,0.7736794673329949
topic_428_lag1,-0.013975313562408245,1.9171786062760536,-0.007289520922390235,0.9941838734474836
C(ticker)[T.UBS],0.01259895498469013,0.04892936618787761,0.2574927076781051,0.796799104897514
C(ticker)[T.MFG],0.009981691552098151,0.0489144977927033,0.20406407103268154,0.8383039486866716
C(ticker)[T.BCS],0.009695943843881442,0.04892082120634331,0.19819666973669323,0.8428916955253992
C(ticker)[T.TD],0.009629028470080694,0.04892471323107186,0.196813181604207,0.8439742343632352
C(ticker)[T.SCGLY],0.009400692866829092,0.04893371343510167,0.19211075977907868,0.8476559333979954
C(ticker)[T.SAN],0.008098059664302437,0.0489172193288019,0.16554619774829255,0.8685145083088943
C(ticker)[T.DB],-0.007515305439770135,0.04892715027036475,-0.15360194489647536,0.8779239899552186
C(ticker)[T.WFC],0.007038974312984945,0.04892672884990384,0.14386766657911937,0.8856053299745291
C(ticker)[T.IDCBY],-0.0056819358559268675,0.04892994988015386,-0.11612388465232168,0.9075546505187725
C(ticker)[T.BNPQY],0.005386716030494537,0.04892309212345133,0.11010579660218187,0.9123257466979461
C(ticker)[T.HSBC],0.0041519956869491845,0.04894764201823659,0.08482524419464907,0.9324005357175139
C(ticker)[T.BACHY],-0.003272523043584826,0.04891778708366706,-0.06689842772298002,0.9466627315588937
C(ticker)[T.CICHY],-0.0009884736825706514,0.048935349548874296,-0.02019958356654653,0.9838842103551002
