topic_id,term_rank,term,weight
15,8,activists,0.016819393529598495
15,9,fuel,0.014914667849355006
15,10,green,0.010715129526364225
16,1,laundering,0.04617774550937085
16,2,money laundering,0.04315291295418984
16,3,fined,0.029676360420710413
16,4,fine,0.02662287415974665
16,5,fines,0.026544761315755783
16,6,pay,0.025587884685317062
16,7,anti money,0.02527481967676293
16,8,penalty,0.02377924859209816
16,9,money,0.02206528788333137
16,10,anti,0.021944858892502687
17,1,stocks buy,0.02581258021543962
17,2,stocks,0.020723254426305283
17,3,value stocks,0.01682374444068867
17,4,buy,0.014666279848572815
17,5,undervalued,0.014081494877297285
17,6,2024,0.013028799390480723
17,7,defensive stocks,0.012620677829692025
17,8,growth stocks,0.011508418099827418
17,9,volatile stocks,0.011405211076573787
17,10,defensive,0.01083053773675315
18,1,bond,0.057363616158623794
18,2,bonds,0.036312367120818416
18,3,bond sale,0.02405650859099055
18,4,bond market,0.019705400097576167
18,5,junk,0.014157961591732274
18,6,bond offering,0.013992708013854476
18,7,sale,0.013497182455582851
18,8,bond losses,0.013193463665258373
18,9,bond sales,0.012539849549372461
18,10,billion bond,0.012539849549372461
19,1,story,0.06816845747984995
19,2,narrative,0.056588930999020626
19,3,shifting,0.053368040021245865
19,4,developments,0.03823016305080212
19,5,analyst,0.036400014341658626
19,6,recent,0.03570589669777362
19,7,recent developments,0.030649894599123012
19,8,recent analyst,0.029821584473075636
19,9,investment story,0.029438411585524234
19,10,evolving,0.0271397441823419
20,1,epstein,0.12872537758177097
20,2,jeffrey epstein,0.08279628031102948
20,3,jeffrey,0.0805351295445186
20,4,staley,0.05531219117864218
20,5,jes staley,0.04156417451752142
20,6,jes,0.04156417451752142
20,7,ties,0.039491548343219815
20,8,epstein ties,0.03503038459253098
20,9,accusers,0.02906758538946437
20,10,islands,0.02727194228702371
21,1,dividend stock,0.08751988964952069
21,2,dividend,0.05931044687885499
21,3,great dividend,0.027245978982863298
21,4,bank dividend,0.023229336313648603
21,5,ex dividend,0.022339535438681057
21,6,stock buy,0.021228630629315126
21,7,stock right,0.020965784015371216
21,8,dividend stocks,0.020022024645412303
21,9,buy right,0.01968378834678519
21,10,best,0.019024965956508464
22,1,appoints,0.03933893476121277
22,2,head,0.03448751414623463
22,3,investment banking,0.032155963835496716
22,4,names,0.029044159849128864
22,5,memo,0.026178313997501965
22,6,americas,0.02404999552335798
22,7,banking,0.023084598799616655
22,8,heads,0.0212560623745678
22,9,hires,0.02109204775931553
22,10,banking appoints,0.01826733003240668
23,1,japan,0.08429209966551304
23,2,update japan,0.025373547867656335
23,3,japanese,0.023819566928225528
23,4,japan banks,0.02134006256652271
23,5,nippon,0.017015079950917583
23,6,steel,0.01526892616494773
23,7,japan bank,0.014301363494330366
23,8,nikkei,0.012813863081979817
23,9,japan buy,0.012746957446385276
23,10,nippon steel,0.012746957446385276
24,1,today,0.06271326019019136
24,2,today shares,0.053539990615345666
24,3,today stock,0.04765259076788885
24,4,popped,0.028761588675828693
