trial,fold,random_seed,n_neighbors,n_components,min_cluster_size,min_samples,ngram_range,n_topics,cv_val,npmi_val,topic_diversity,intra_topic_similarity,inter_topic_similarity,fit_seconds
122,3,42,50,4,8,2,"(1, 2)",82,0.5129426703382572,-0.07396708869629957,0.8731707317073171,0.5272401699832842,0.32705944776535034,41.06394590000855
123,1,42,50,4,8,4,"(1, 2)",14,0.44504459939409075,-0.12243383602989842,0.9285714285714286,0.5663594504197439,0.22354528307914734,6.489260000002105
123,2,42,50,4,8,4,"(1, 2)",48,0.5321590202039386,-0.019455842833672438,0.9,0.6257246943081126,0.28174880146980286,9.791173600009643
123,3,42,50,4,8,4,"(1, 2)",71,0.5549486806449742,-0.03788812762709356,0.8915492957746479,0.5449738651514053,0.3099249601364136,40.457360299973516
124,1,42,50,4,8,6,"(1, 2)",12,0.503356934142118,-0.024757227300387624,0.9583333333333334,0.6128105103969574,0.3724849820137024,6.503820299985819
124,2,42,50,4,8,6,"(1, 2)",41,0.5030298751171806,-0.02657765703258072,0.9292682926829269,0.5898742553065804,0.3115583658218384,9.741342900000745
124,3,42,50,4,8,6,"(1, 2)",59,0.576627458558427,0.007133442714478092,0.8864406779661017,0.549131064755576,0.31516045331954956,41.103336500003934
125,1,42,50,4,12,1,"(1, 2)",11,0.40698260604766523,-0.25303955449426435,0.9181818181818182,0.5197214148938656,0.3852306604385376,6.4370660000131465
125,2,42,50,4,12,1,"(1, 2)",41,0.4431745162186752,-0.13370514764531394,0.9073170731707317,0.5496920006615775,0.30403852462768555,9.957575400010683
125,3,42,50,4,12,1,"(1, 2)",62,0.5408738411260191,-0.042264489370324294,0.8806451612903226,0.49373062747590085,0.3711014986038208,40.71464730001753
126,1,42,50,4,12,2,"(1, 2)",10,0.40577703004818255,-0.23615796963275346,0.91,0.5490610599517822,0.3421732783317566,6.434793199994601
126,2,42,50,4,12,2,"(1, 2)",37,0.4808737843706451,-0.06789162523571653,0.9216216216216216,0.5521606966853142,0.2887173593044281,9.682753100001719
126,3,42,50,4,12,2,"(1, 2)",56,0.5339947435800365,-0.036864682019641284,0.8928571428571429,0.5166611004443395,0.35557395219802856,40.92174169997452
127,1,42,50,4,12,4,"(1, 2)",11,0.4127124086546029,-0.18643882517539517,0.9090909090909091,0.5525003969669342,0.22993837296962738,6.5223182999761775
127,2,42,50,4,12,4,"(1, 2)",31,0.4921181681562558,-0.049948138782017086,0.9387096774193548,0.5657009780406952,0.30578020215034485,9.759785300004296
127,3,42,50,4,12,4,"(1, 2)",49,0.5500690966471208,-0.009877460866423052,0.9,0.5196075898569983,0.3486684262752533,40.55111569998553
128,1,42,50,4,12,6,"(1, 2)",7,0.41075441550212904,-0.20032604145971986,0.9428571428571428,0.5176464915275574,0.5212710499763489,6.451517500041518
128,2,42,50,4,12,6,"(1, 2)",28,0.49451609626665755,-0.03113302429135061,0.9535714285714286,0.5535718500614166,0.32068589329719543,9.609486799978185
128,3,42,50,4,12,6,"(1, 2)",45,0.571988715945552,0.013415350342580302,0.9,0.5194413670722176,0.3617490231990814,40.46062849997543
129,1,42,50,4,16,1,"(1, 2)",10,0.42421303820219647,-0.2513928772091304,0.91,0.5197214148938656,0.3852306604385376,6.436168200045358
129,2,42,50,4,16,1,"(1, 2)",27,0.42154016451233833,-0.1341261870076562,0.9296296296296296,0.5331417351961136,0.3198351562023163,9.65516879997449
129,3,42,50,4,16,1,"(1, 2)",46,0.5276572693416505,-0.058170344280408896,0.9,0.4611291648485722,0.39258840680122375,40.56159340002341
