trial,fold,random_seed,n_neighbors,n_components,min_cluster_size,min_samples,ngram_range,n_topics,cv_val,npmi_val,topic_diversity,intra_topic_similarity,inter_topic_similarity,fit_seconds
14,1,42,30,5,10,3,"(1, 2)",78,0.6820816589766608,0.13837785760318225,0.7615384615384615,0.7771620952031192,0.7610862851142883,88.31432259999929
14,2,42,30,5,10,3,"(1, 2)",207,0.5213728398400913,0.030658629327464458,0.7961352657004831,0.7989811075361152,0.73675137758255,54.2605695000002
14,3,42,30,5,10,3,"(1, 2)",662,0.48986012715333416,0.024673547020536264,0.8066465256797583,0.8194540307241598,0.6758705377578735,102.95588670000143
15,1,42,30,5,15,1,"(1, 2)",57,0.6700648686368181,0.1364644173819881,0.7526315789473684,0.7688864241946828,0.7897703051567078,88.34280969999963
15,2,42,30,5,15,1,"(1, 2)",180,0.5393616070698003,0.04249783113141693,0.7938888888888889,0.7885417467105889,0.7428461313247681,52.77562030000081
15,3,42,30,5,15,1,"(1, 2)",562,0.4540357735008355,-0.017774209159773083,0.80355871886121,0.8045729112391379,0.6969038248062134,100.69621760000155
16,1,42,30,5,15,3,"(1, 2)",55,0.6565202415390716,0.1341645634606945,0.7618181818181818,0.7664878929362577,0.7829447388648987,87.79260820000127
16,2,42,30,5,15,3,"(1, 2)",156,0.5451703369597318,0.052334166634659285,0.7987179487179488,0.7950472178130314,0.7422993779182434,53.03538900000058
16,3,42,30,5,15,3,"(1, 2)",427,0.4839203792065821,0.01064642643540447,0.7882903981264637,0.8122041876251633,0.695972740650177,98.0170287999972
17,1,42,30,5,20,1,"(1, 2)",43,0.671943602061796,0.14617115421035487,0.7162790697674418,0.7585142396745228,0.7941201329231262,88.77812650000124
17,2,42,30,5,20,1,"(1, 2)",144,0.5443561869840482,0.044532909341076295,0.7840277777777778,0.7878344151708815,0.745110034942627,52.38138919999983
17,3,42,30,5,20,1,"(1, 2)",403,0.4726042448783801,0.002831710390678294,0.7719602977667493,0.805690456535112,0.7113828659057617,97.19716770000014
18,1,42,30,5,20,3,"(1, 2)",43,0.6694636423367957,0.1498986470969792,0.7186046511627907,0.7644542142748832,0.7793027758598328,87.86772110000311
18,2,42,30,5,20,3,"(1, 2)",128,0.5508696961913524,0.05887158210611324,0.7875,0.792062780757745,0.7446255087852478,51.6226127000009
18,3,42,30,5,20,3,"(1, 2)",329,0.49759202680691766,0.02790316867840702,0.7671732522796353,0.8123688771049318,0.7182278633117676,95.63423300000068
19,1,42,30,10,10,1,"(1, 2)",76,0.6780201554362953,0.1311509962506217,0.7552631578947369,0.7842207023075649,0.784460723400116,88.95325009999942
19,2,42,30,10,10,1,"(1, 2)",254,0.49873270040584056,0.0021393111758224383,0.7925196850393701,0.7906816249308379,0.7308335304260254,55.403820699997596
19,3,42,30,10,10,1,"(1, 2)",924,0.4578119515828788,0.0011525005234126124,0.8386363636363636,0.8092045287809285,0.6822001338005066,110.25507769999967
20,1,42,30,10,10,3,"(1, 2)",69,0.6978990344303604,0.14998819557838253,0.7753623188405797,0.7881204585234324,0.7797790765762329,86.83204019999903
20,2,42,30,10,10,3,"(1, 2)",210,0.5183631420515067,0.025313604875558577,0.780952380952381,0.7967922281432938,0.7295055389404297,53.3930924999986
20,3,42,30,10,10,3,"(1, 2)",660,0.48620110062173977,0.02332715648664952,0.8066666666666666,0.8244095719957072,0.6802083849906921,101.33064630000081
21,1,42,30,10,15,1,"(1, 2)",49,0.6934372381017821,0.16302175326931334,0.7489795918367347,0.7674084052126459,0.7974109053611755,86.04146720000062
21,2,42,30,10,15,1,"(1, 2)",179,0.522764156974445,0.016997227893237963,0.7804469273743017,0.7884130345051548,0.7384757399559021,51.00901099999828
21,3,42,30,10,15,1,"(1, 2)",553,0.45549053930360495,-0.010189416763671619,0.8045207956600362,0.8053595406633701,0.6998959183692932,98.624132500001
22,1,42,30,10,15,3,"(1, 2)",47,0.6745185715940614,0.14367795483179016,0.7829787234042553,0.7689529936364357,0.7926374077796936,85.47589159999916
22,2,42,30,10,15,3,"(1, 2)",157,0.5444116560909447,0.04601995069875067,0.7878980891719746,0.7935731801348673,0.7247629165649414,50.85813540000163
22,3,42,30,10,15,3,"(1, 2)",418,0.4949245771629633,0.027133010053530707,0.7830143540669856,0.8184715124922739,0.7053837180137634,95.54376520000005
23,1,42,30,10,20,1,"(1, 2)",38,0.6836316062361795,0.16115057613189074,0.7210526315789474,0.7655568863894489,0.794918417930603,85.10509639999873
23,2,42,30,10,20,1,"(1, 2)",133,0.5454208334524934,0.03633718573629848,0.7864661654135339,0.7874690387398005,0.7362778782844543,51.07114619999993
23,3,42,30,10,20,1,"(1, 2)",396,0.48279054780780223,0.017133738208502378,0.7787878787878788,0.8047229947315322,0.7147177457809448,94.88977180000074
24,1,42,30,10,20,3,"(1, 2)",39,0.6638555845412168,0.128992378793455,0.7487179487179487,0.7654021884265699,0.7899133563041687,84.79764179999984
24,2,42,30,10,20,3,"(1, 2)",121,0.5592574190428883,0.05946319297589101,0.7851239669421488,0.794960453844907,0.7315945625305176,51.05803169999854
24,3,42,30,10,20,3,"(1, 2)",330,0.5088536467120436,0.04252268450634608,0.7581818181818182,0.8160391040274367,0.7118046283721924,93.93503150000106
25,1,42,50,5,10,1,"(1, 2)",79,0.6768317419866988,0.12473769771041415,0.7620253164556962,0.7736302895678414,0.7751718759536743,85.7694350999991
25,2,42,50,5,10,1,"(1, 2)",246,0.4954745275400791,0.006355078853134481,0.7979674796747968,0.7918709273691531,0.7252560257911682,58.47937500000262
25,3,42,50,5,10,1,"(1, 2)",859,0.4719313469287056,0.01133463978092937,0.8303841676367869,0.8064031461846541,0.673520028591156,124.33478749999995
26,1,42,50,5,10,3,"(1, 2)",77,0.664201338209582,0.1292915548086215,0.7584415584415585,0.7686695392315205,0.7606332898139954,85.89181319999989
26,2,42,50,5,10,3,"(1, 2)",194,0.5134407699826545,0.028628682655004175,0.7922680412371134,0.7999648376853167,0.7200127243995667,58.485660199999984
26,3,42,50,5,10,3,"(1, 2)",587,0.5019776523802236,0.037002078702442945,0.7942078364565588,0.8265079493936338,0.6704561710357666,119.80248049999864
27,1,42,50,5,15,1,"(1, 2)",51,0.6668499733454202,0.13541626275057442,0.7647058823529411,0.7668980765342712,0.7920507192611694,85.68665140000303
27,2,42,50,5,15,1,"(1, 2)",173,0.5164376976988605,0.022991601738250923,0.7982658959537572,0.7893747042251539,0.7258206605911255,58.236381800001254
27,3,42,50,5,15,1,"(1, 2)",523,0.462813421037083,-0.005112582712163223,0.7996175908221798,0.8060887986630724,0.6905553340911865,118.62936450000052
28,1,42,50,5,15,3,"(1, 2)",48,0.6634061546595852,0.13901636893301642,0.775,0.7625045953912938,0.7852421998977661,86.11919599999965
28,2,42,50,5,15,3,"(1, 2)",145,0.5381159951335197,0.05223585747257333,0.7813793103448275,0.7988868383690715,0.7223336696624756,56.70744720000221
28,3,42,50,5,15,3,"(1, 2)",398,0.4934664495514531,0.01992183580753041,0.7761306532663317,0.8195288669632141,0.6928573250770569,115.57036499999958
29,1,42,50,5,20,1,"(1, 2)",40,0.6514463168220556,0.13503335389126617,0.745,0.7605270251631737,0.7882797122001648,85.26345390000279
29,2,42,50,5,20,1,"(1, 2)",129,0.5316676850234179,0.0391340710641444,0.7837209302325582,0.7848913193710388,0.7321031093597412,56.42260979999992
29,3,42,50,5,20,1,"(1, 2)",386,0.47027059032139623,-0.0005617473942700911,0.7707253886010362,0.8031508769208228,0.6986384391784668,115.33035409999866
30,1,42,50,5,20,3,"(1, 2)",37,0.6707819857050678,0.15120996410731513,0.7378378378378379,0.758211831788759,0.7821083664894104,85.2424809999975
30,2,42,50,5,20,3,"(1, 2)",112,0.5513670945881319,0.06379927434656125,0.7785714285714286,0.7947424896634542,0.745057225227356,57.41136700000061
30,3,42,50,5,20,3,"(1, 2)",313,0.49938199854011284,0.02322621445449728,0.7654952076677316,0.814039588414435,0.7045621275901794,113.68208969999978
31,1,42,50,10,10,1,"(1, 2)",79,0.6607218175985906,0.10925787878447939,0.7670886075949367,0.7769094058445521,0.7561032772064209,85.84601829999883
31,2,42,50,10,10,1,"(1, 2)",232,0.48611176945142676,-0.003987126550632464,0.8232758620689655,0.7860032030596182,0.7212163805961609,64.81211099999928
31,3,42,50,10,10,1,"(1, 2)",865,0.4761041156354897,0.017084189524194916,0.8324855491329479,0.8093479860851701,0.6787974238395691,126.66255710000041
32,1,42,50,10,10,3,"(1, 2)",70,0.6546601697145622,0.13964301964108652,0.7528571428571429,0.7804356886790349,0.7592409253120422,86.28032760000133
32,2,42,50,10,10,3,"(1, 2)",189,0.5054099496314629,0.01871173184210352,0.7984126984126985,0.7941163502088407,0.7130721807479858,59.02603049999743
32,3,42,50,10,10,3,"(1, 2)",611,0.4894971800313932,0.021640773926487104,0.806873977086743,0.8269980161929597,0.6763617396354675,124.04184369999712
33,1,42,50,10,15,1,"(1, 2)",47,0.6753473473055456,0.14743159827550018,0.7659574468085106,0.7660420338312784,0.776087760925293,86.2612009000004
33,2,42,50,10,15,1,"(1, 2)",161,0.5108821953675414,0.019528584332865355,0.8068322981366459,0.7853591831362977,0.7338049411773682,57.27740149999954
33,3,42,50,10,15,1,"(1, 2)",513,0.4718580123073633,0.006422413839661712,0.7982456140350878,0.8061420299340544,0.699130117893219,121.08375449999949
34,1,42,50,10,15,3,"(1, 2)",48,0.6654506307610635,0.14618815711220431,0.7604166666666666,0.7794979577479155,0.7675431966781616,86.19549570000163
34,2,42,50,10,15,3,"(1, 2)",139,0.5457381175206371,0.0595211637692377,0.7877697841726619,0.7937557172775268,0.7242314219474792,57.857859499999904
34,3,42,50,10,15,3,"(1, 2)",398,0.48789679589717055,0.013604634258269133,0.7816582914572864,0.8197537962169874,0.6909564733505249,118.1743607999997
35,1,42,50,10,20,1,"(1, 2)",40,0.6653451872501307,0.14592413657499195,0.7375,0.763172121424424,0.7789262533187866,86.1639763000021
35,2,42,50,10,20,1,"(1, 2)",127,0.5325122646813798,0.040047802434750875,0.768503937007874,0.7885483611246635,0.7378073930740356,56.996292800002266
35,3,42,50,10,20,1,"(1, 2)",369,0.4886308051742433,0.020318943804481012,0.770189701897019,0.8060966149942409,0.7079572677612305,117.23857199999838
36,1,42,50,10,20,3,"(1, 2)",39,0.6730105242099608,0.1566037472891136,0.7307692307692307,0.7730268433287337,0.7703270316123962,85.91077710000172
36,2,42,50,10,20,3,"(1, 2)",103,0.5668574413835707,0.08062784041830108,0.7893203883495146,0.7972682209647431,0.7496700286865234,57.780306600001495
36,3,42,50,10,20,3,"(1, 2)",300,0.4977762811728176,0.01950076147835756,0.7726666666666666,0.8162936937134221,0.7030280232429504,116.84286630000133
