trial,fold,random_seed,n_neighbors,n_components,min_cluster_size,min_samples,ngram_range,n_topics,cv_val,npmi_val,topic_diversity,intra_topic_similarity,inter_topic_similarity,fit_seconds
21,1,42,30,10,15,1,"(1, 2)",48,0.636410951836844,0.11507299160873778,0.8291666666666667,0.405313856071896,0.43398553133010864,75.63612719997764
21,2,42,30,10,15,1,"(1, 2)",161,0.5387819845321788,0.023977492765775474,0.8521739130434782,0.4662399655520516,0.3902572989463806,48.83618280000519
21,3,42,30,10,15,1,"(1, 2)",550,0.4733378194168456,0.013446061475264903,0.8307272727272728,0.5179591786238502,0.3462945520877838,90.21911400000681
22,1,42,30,10,15,3,"(1, 2)",41,0.6592842857772012,0.14064623170340224,0.8634146341463415,0.40219115332151073,0.4585147500038147,76.02756590000354
22,2,42,30,10,15,3,"(1, 2)",145,0.5330845239812728,0.022481444392606457,0.853103448275862,0.46712057420344494,0.3863871097564697,48.35264550001011
22,3,42,30,10,15,3,"(1, 2)",482,0.4911212915017843,0.02849737864885581,0.825311203319502,0.5291684871235638,0.3479713797569275,89.18190729999333
23,1,42,30,10,20,1,"(1, 2)",36,0.6401020285580576,0.11798875540634543,0.8166666666666667,0.3753528216055461,0.4600754380226135,75.75766470000963
23,2,42,30,10,20,1,"(1, 2)",121,0.549210111521646,0.028523347633919054,0.8446280991735537,0.4543303924432972,0.40916329622268677,48.02494879998267
23,3,42,30,10,20,1,"(1, 2)",409,0.4857505985302712,0.021698238246835384,0.8161369193154034,0.5120813916687683,0.3654397130012512,87.37080159998732
24,1,42,30,10,20,3,"(1, 2)",27,0.6953061851475508,0.16885549917044632,0.8629629629629629,0.3746948018670082,0.4880668818950653,76.0534450999985
24,2,42,30,10,20,3,"(1, 2)",121,0.538744741668615,0.017123162709831212,0.8512396694214877,0.45967280760146023,0.39755845069885254,48.049311600014335
24,3,42,30,10,20,3,"(1, 2)",365,0.49156680557095167,0.02869567002390438,0.8183561643835616,0.5230390594913326,0.3680402338504791,89.64819400000852
25,1,42,50,5,10,1,"(1, 2)",78,0.6157052326182993,0.07151793610357392,0.7858974358974359,0.4669092815430438,0.4087315499782562,76.97191230001044
25,2,42,50,5,10,1,"(1, 2)",235,0.5009284084881356,0.0034945539850226195,0.8365957446808511,0.46864234976729946,0.3827663064002991,55.948578600015026
25,3,42,50,5,10,1,"(1, 2)",710,0.48683353371711063,0.0259102742630524,0.8325352112676057,0.513110762301216,0.33881813287734985,111.52540789998602
26,1,42,50,5,10,3,"(1, 2)",61,0.6484282702153195,0.11801462841497846,0.819672131147541,0.4817232412214463,0.422874391078949,77.68475380001473
26,2,42,50,5,10,3,"(1, 2)",196,0.5032973130116919,0.0013799468476190185,0.8372448979591837,0.4746138437810104,0.36143749952316284,55.44758579999325
26,3,42,50,5,10,3,"(1, 2)",583,0.5076319193870061,0.042200172290043816,0.8238421955403088,0.5280552933794491,0.33339637517929077,109.39468890000717
27,1,42,50,5,15,1,"(1, 2)",51,0.6389549278720223,0.131019019787036,0.8019607843137255,0.43567223010993583,0.42759793996810913,77.3733439000207
27,2,42,50,5,15,1,"(1, 2)",160,0.5216808253797632,0.010406896033183014,0.835,0.4695085246478104,0.3737981617450714,54.04599539999617
27,3,42,50,5,15,1,"(1, 2)",479,0.47734652554500495,0.011165990102067092,0.82839248434238,0.5053576797534878,0.3632686138153076,107.41988060000585
28,1,42,50,5,15,3,"(1, 2)",38,0.6488929193743738,0.12825054354164184,0.881578947368421,0.44280343098299846,0.44286540150642395,76.85209940001369
28,2,42,50,5,15,3,"(1, 2)",146,0.5223849793320421,0.014082168523128047,0.8458904109589042,0.47793533774375013,0.3616518974304199,53.898530400008895
28,3,42,50,5,15,3,"(1, 2)",418,0.4944853960013521,0.02646301168778626,0.8224880382775119,0.5139233322639979,0.35201841592788696,107.17461600000388
29,1,42,50,5,20,1,"(1, 2)",32,0.6657449592875218,0.1511495414255722,0.8875,0.4202816231596854,0.4793590307235718,76.6988779999956
29,2,42,50,5,20,1,"(1, 2)",122,0.5186687918396716,-0.0013557882735441972,0.8590163934426229,0.45022114075458886,0.39335504174232483,53.987856600026134
29,3,42,50,5,20,1,"(1, 2)",364,0.48700541491902594,0.014113197305981874,0.8203296703296703,0.4990017635804234,0.37581557035446167,103.94376270001521
30,1,42,50,5,20,3,"(1, 2)",31,0.660459338391065,0.14506659689165724,0.8870967741935484,0.4158266572089031,0.466021329164505,76.55534170000465
30,2,42,50,5,20,3,"(1, 2)",113,0.5135442265862907,-0.008185383369254149,0.8539823008849557,0.4507804812045298,0.38472655415534973,53.45185320000746
30,3,42,50,5,20,3,"(1, 2)",326,0.502438487522501,0.028633326543652953,0.8220858895705522,0.5035941741165447,0.3696309030056,104.21009239999694
31,1,42,50,10,10,1,"(1, 2)",69,0.6693584611076605,0.11911635526928854,0.8014492753623188,0.47084024773453764,0.3880729377269745,77.19121499999892
31,2,42,50,10,10,1,"(1, 2)",228,0.5107761839268089,0.011719849500980558,0.8302631578947368,0.48781502886718725,0.3612159490585327,56.13030650001019
31,3,42,50,10,10,1,"(1, 2)",723,0.4817963600889367,0.016817771166535607,0.8311203319502075,0.5434540429150814,0.3301950693130493,113.96135289999074
