split,topic,documents
train,572,18
train,573,18
train,574,18
train,575,18
train,576,18
train,577,18
train,578,18
train,579,18
train,580,18
train,581,18
train,582,18
train,583,18
train,584,17
train,585,17
train,586,17
train,587,17
train,588,17
train,589,17
train,590,17
train,591,17
train,592,17
train,593,17
train,594,17
train,595,17
train,596,17
train,597,17
train,598,17
train,599,17
train,600,17
train,601,17
train,602,17
train,603,17
train,604,17
train,605,17
train,606,17
train,607,17
train,608,17
train,609,17
train,610,17
train,611,17
train,612,17
train,613,17
train,614,17
train,615,17
train,616,17
train,617,16
train,618,16
train,619,16
train,620,16
train,621,16
train,622,16
train,623,16
train,624,16
train,625,16
train,626,16
train,627,16
train,628,16
train,629,16
train,630,16
train,631,16
train,632,16
train,633,16
train,634,16
train,635,16
train,636,16
train,637,16
train,638,16
train,639,16
train,640,16
train,641,16
train,642,16
train,643,16
train,644,16
train,645,16
train,646,16
train,647,16
train,648,16
train,649,16
train,650,16
train,651,16
train,652,16
train,653,16
train,654,16
train,655,16
train,656,16
train,657,15
train,658,15
train,659,15
train,660,15
train,661,15
train,662,15
train,663,15
train,664,15
train,665,15
train,666,15
train,667,15
train,668,15
train,669,15
train,670,15
train,671,15
train,672,15
train,673,15
train,674,15
train,675,15
train,676,15
train,677,15
train,678,15
train,679,15
train,680,15
train,681,15
train,682,15
train,683,15
train,684,15
train,685,15
train,686,15
train,687,15
train,688,15
train,689,15
train,690,15
train,691,15
train,692,15
train,693,15
train,694,15
train,695,15
train,696,15
train,697,15
train,698,15
train,699,15
train,700,15
train,701,15
train,702,15
train,703,15
train,704,15
train,705,15
train,706,15
train,707,15
train,708,15
train,709,15
train,710,14
train,711,14
train,712,14
train,713,14
train,714,14
train,715,14
train,716,14
train,717,14
train,718,14
train,719,14
train,720,14
train,721,14
train,722,14
train,723,14
train,724,14
train,725,14
train,726,14
train,727,14
train,728,14
train,729,14
train,730,14
train,731,14
train,732,14
train,733,14
train,734,14
train,735,14
train,736,14
train,737,14
train,738,14
train,739,14
train,740,14
train,741,14
train,742,14
train,743,14
train,744,14
train,745,14
train,746,13
train,747,13
train,748,13
train,749,13
train,750,13
train,751,13
train,752,13
train,753,13
train,754,13
train,755,13
train,756,13
train,757,13
train,758,13
train,759,13
train,760,13
train,761,13
train,762,13
train,763,13
train,764,13
train,765,13
train,766,13
train,767,13
train,768,13
train,769,13
train,770,13
train,771,13
train,772,13
train,773,13
train,774,13
train,775,13
train,776,13
train,777,13
train,778,13
train,779,13
train,780,13
train,781,13
train,782,13
train,783,13
train,784,13
train,785,13
train,786,12
train,787,12
train,788,12
train,789,12
train,790,12
train,791,12
train,792,12
train,793,12
train,794,12
train,795,12
train,796,12
train,797,12
train,798,12
train,799,12
train,800,12
train,801,12
train,802,12
train,803,12
train,804,12
train,805,12
train,806,12
train,807,12
train,808,12
train,809,12
train,810,12
train,811,12
train,812,12
train,813,12
train,814,12
train,815,12
train,816,12
train,817,12
train,818,12
train,819,12
train,820,12
train,821,12
train,822,12
train,823,12
train,824,12
train,825,12
