trial,fold,random_seed,n_neighbors,n_components,min_cluster_size,min_samples,ngram_range,n_topics,cv_val,npmi_val,topic_diversity,intra_topic_similarity,inter_topic_similarity,fit_seconds
5,1,42,15,5,20,1,"(1, 2)",9,0.7844591039028281,0.0853695247691093,0.9333333333333333,0.6993769473499722,0.8672702312469482,67.6083031000162
5,2,42,15,5,20,1,"(1, 2)",179,0.4437905160581461,-0.05690511450104333,0.8083798882681564,0.7887902322568392,0.7111191153526306,50.71247040000162
5,3,42,15,5,20,1,"(1, 2)",335,0.44116974410242327,-0.033583160238901025,0.8146268656716418,0.7911254250814044,0.7116752862930298,66.06319840002107
6,1,42,15,5,20,3,"(1, 2)",5,0.6494719426005775,0.053998451532013186,0.98,0.6838194131851196,0.823416531085968,67.12059839998255
6,2,42,15,5,20,3,"(1, 2)",136,0.47112684207396544,-0.021937895039975248,0.8051470588235294,0.7956544151672951,0.7212226986885071,47.6205719000136
6,3,42,15,5,20,3,"(1, 2)",265,0.4639326545149011,-0.010569209270072755,0.8049056603773584,0.7975549131385551,0.7012443542480469,65.08399280000594
7,1,42,15,10,10,1,"(1, 2)",43,0.5352300974449666,-0.06230886927335158,0.8813953488372093,0.7415434732323601,0.7825564742088318,67.56471939999028
7,2,42,15,10,10,1,"(1, 2)",385,0.46025008921620564,-0.03325086686716092,0.857922077922078,0.7934225191240726,0.6956378817558289,51.23032780000358
7,3,42,15,10,10,1,"(1, 2)",817,0.4355281729891176,-0.031626967239389535,0.8610771113831089,0.8057307842615489,0.6700436472892761,73.55003370001214
8,1,42,15,10,10,3,"(1, 2)",37,0.5825363587741745,-0.018392694129268694,0.8756756756756757,0.7371759613355001,0.78755122423172,67.0416296000185
8,2,42,15,10,10,3,"(1, 2)",315,0.4793009527933573,-0.019716823279771596,0.8533333333333334,0.8022950577378719,0.6917001605033875,49.98653909997665
8,3,42,15,10,10,3,"(1, 2)",584,0.4591495819244849,-0.005239624750462981,0.8412671232876713,0.8125678081762845,0.6730481386184692,69.31910920000519
9,1,42,15,10,15,1,"(1, 2)",23,0.5615943177734988,-0.03404684573775184,0.9260869565217391,0.7174677984281019,0.8050755262374878,66.77596899998025
9,2,42,15,10,15,1,"(1, 2)",247,0.4478314124826908,-0.0647203448971748,0.8283400809716599,0.7876722503117737,0.6960510015487671,50.171264600008726
9,3,42,15,10,15,1,"(1, 2)",439,0.44321048496229654,-0.026556232215779116,0.8341685649202734,0.8028013599498193,0.7016855478286743,67.81813799997326
10,1,42,15,10,15,3,"(1, 2)",11,0.7481480632201662,0.03006955123810622,0.9090909090909091,0.7015117526054382,0.8533064723014832,66.87801310000941
10,2,42,15,10,15,3,"(1, 2)",205,0.465567027009219,-0.045378188925373875,0.8219512195121951,0.7981380570319391,0.7002730965614319,48.49501829998917
10,3,42,15,10,15,3,"(1, 2)",354,0.4614890625725542,-0.012032387255996094,0.8169491525423729,0.8033752619828048,0.6933122277259827,66.21102839999367
11,1,42,15,10,20,1,"(1, 2)",18,0.5542686364987611,-0.021931370829890745,0.9388888888888889,0.7159568601184421,0.8090091347694397,66.72967569998582
11,2,42,15,10,20,1,"(1, 2)",190,0.445660565319518,-0.0602861251830957,0.8121052631578948,0.7881907569037543,0.7105464935302734,48.9967949000129
11,3,42,15,10,20,1,"(1, 2)",317,0.44243741514614643,-0.03186618160542304,0.8182965299684543,0.7972306889053937,0.7109541893005371,66.78352339999401
12,1,42,15,10,20,3,"(1, 2)",8,0.7571218187906812,0.0708069987065716,0.975,0.7024380043148994,0.8644243478775024,66.6789517000143
12,2,42,15,10,20,3,"(1, 2)",155,0.4776991712853733,-0.03192055523317662,0.8090322580645162,0.7946877868639098,0.706326425075531,48.00226209999528
12,3,42,15,10,20,3,"(1, 2)",265,0.4621681924200019,-0.011466486528871729,0.8,0.7991448220084695,0.7082244157791138,66.47527319999062
13,1,42,30,5,10,1,"(1, 2)",41,0.49941947141678145,-0.09559046172690291,0.8804878048780488,0.7507524758577346,0.7700598835945129,68.81914000000688
13,2,42,30,5,10,1,"(1, 2)",358,0.4536519778479342,-0.0371877185568395,0.8620111731843575,0.7925398480507635,0.688334047794342,56.924296000011964
13,3,42,30,5,10,1,"(1, 2)",649,0.4387434616314895,-0.0313234459033229,0.8590138674884438,0.7971028235900145,0.6746606230735779,81.2869654999813
14,1,42,30,5,10,3,"(1, 2)",16,0.7643891686546449,0.015040340556651873,0.81875,0.7188462257385254,0.8561238646507263,65.47222090000287
14,2,42,30,5,10,3,"(1, 2)",255,0.45829232366192185,-0.03471327958927155,0.847843137254902,0.8030941463759725,0.6804245710372925,54.49699259997578
14,3,42,30,5,10,3,"(1, 2)",464,0.4492619410065872,-0.02189975817396969,0.8349137931034483,0.8114395893064132,0.677405059337616,78.3635427999834
15,1,42,30,5,15,1,"(1, 2)",9,0.7933482012696277,0.0774196649072358,0.8888888888888888,0.6937350481748581,0.8539443016052246,65.68667709999136
15,2,42,30,5,15,1,"(1, 2)",222,0.46505130475428325,-0.036755656334429565,0.8301801801801801,0.7912475023292689,0.7034576535224915,54.466978000011295
