Variable,Coefficient,Std_Error,t_statistic,p_value
topic_606_lag1,-1.5111069567879403,1.9166798590394827,-0.7883982031016961,0.4304661536913332
topic_79_lag1,1.4763430677049587,1.916680278245946,0.7702604782139446,0.4411476658738673
topic_537_lag1,-1.4682656115809178,1.9166801192422571,-0.7660462467578492,0.4436510415066215
topic_519_lag1,1.4394957273902873,1.9166802782459764,0.7510359154462747,0.45263324667574234
topic_8_lag1,1.4036808247683081,1.355297731935485,1.0356992354467587,0.30034560439673047
topic_539_lag1,1.3580915770478703,1.916680119242249,0.7085645452329238,0.4785968057333699
topic_374_lag1,-1.3552144808962718,1.916680697021128,-0.7070632489817019,0.4795292291888815
topic_534_lag1,1.2887295241472432,0.9583403193194422,1.3447514397207292,0.17870932275479445
topic_165_lag1,-1.2866955040536878,1.916680365240877,-0.6713145954787216,0.5020220735653884
topic_259_lag1,-1.1964005241066686,1.9166802782459975,-0.6242045361897942,0.5324950451016528
topic_295_lag1,1.1721558914847987,0.7246394603398468,1.6175711586767194,0.10575898459192179
topic_177_lag1,1.1571110247434526,0.4657715579552781,2.484288714027821,0.012983077899855248
topic_238_lag1,-1.1364194500783826,1.3552983716639384,-0.8385013026195612,0.4017517174231997
topic_11_lag1,-1.1351955800084759,1.9166818809641866,-0.59227125340039,0.553670633382886
topic_23_lag1,1.093690259535664,1.355517648603499,0.8068432459455038,0.4197591946505883
topic_13_lag1,-1.0812688105410742,1.9166801192422749,-0.5641362894547758,0.5726629613387585
topic_46_lag1,1.069810362258518,1.9166818809641386,0.5581574975396422,0.5767384002964596
topic_420_lag1,0.9605158586878588,1.9166794248864356,0.5011353730918096,0.6162772299900526
topic_580_lag1,-0.8993490550684744,1.180386700289327,-0.7619105288529879,0.44611564784340685
topic_511_lag1,0.881294473602963,1.1065958856771154,0.7964013647707603,0.4258011444726699
topic_281_lag1,0.8790141895750844,1.1743890291823975,0.748486376943634,0.4541690358405758
topic_648_lag1,-0.8515227970663142,1.9166802782460142,-0.4442696086201486,0.6568488708148646
topic_476_lag1,-0.8318190068398702,1.9166818809643449,-0.4339890803482501,0.6642975389488441
topic_168_lag1,-0.8211501334997976,2.347188824977507,-0.3498440878558915,0.7264566292602024
topic_80_lag1,0.8178036575648738,1.9166806970211214,0.4266770458094,0.6696157179364002
topic_130_lag1,-0.7555607076049147,1.9166818809643205,-0.3942024574389868,0.6934326204604652
topic_453_lag1,-0.7381302823359371,1.9166805622294805,-0.38510865967010427,0.700157934487531
topic_590_lag1,0.7251800025204291,1.1065961844047543,0.6553248716563291,0.5122604918275856
topic_609_lag1,0.718937195023127,1.9166793205288553,0.37509519058449275,0.7075906663831684
topic_582_lag1,0.6923244649319441,1.106717543146411,0.6255656370673023,0.531601665162396
topic_400_lag1,0.6818187648597888,0.8571654868119217,0.7954342251875951,0.4263633137874077
topic_57_lag1,0.6166206141552619,1.3552983939477337,0.45497037177116406,0.6491317867495244
topic_41_lag1,0.5959183392267131,1.9166795882061414,0.31091182005253415,0.7558684670745902
topic_36_lag1,0.5879606140808518,0.3500629102816059,1.6795855739411825,0.0930418745135612
topic_153_lag1,0.5829394104288566,1.9166818809641928,0.30413988686302346,0.7610221096388391
topic_412_lag1,-0.5608602171392167,1.9166805622293723,-0.29262060052764166,0.7698129233397112
topic_567_lag1,0.5436422041420186,1.9166803652408326,0.28363738367701674,0.7766890178469953
topic_166_lag1,-0.5202037940083787,1.355297222631853,-0.3838300450422192,0.7011054361797162
topic_49_lag1,0.46061819504067436,1.3555177896246526,0.3398097749556065,0.7340006767224541
topic_625_lag1,-0.3974491359561843,1.916680365240852,-0.20736328454339878,0.8357266809756588
topic_152_lag1,-0.37528826620675004,1.916679429701155,-0.19580126983742102,0.8447662125760329
topic_118_lag1,-0.360509153286285,1.3555176647230573,-0.26595680946728184,0.7902731566170228
topic_6_lag1,-0.3506099884604396,1.9166791902373341,-0.1829257552574696,0.8548567368355751
topic_312_lag1,0.33228998846923785,1.9166805622294816,0.17336743274670577,0.8623630602292816
topic_296_lag1,-0.33151912380006426,1.9166818809641917,-0.17296512639504513,0.8626792763556083
topic_222_lag1,-0.3102149238679987,1.3555192660987099,-0.22885320159323255,0.8189835989631395
topic_2_lag1,-0.30157273069607743,0.5534331479020468,-0.5449126635064754,0.5858151026716509
topic_35_lag1,-0.30091784566075863,1.916680278245976,-0.15699950016501424,0.8752456375461731
topic_38_lag1,-0.2745721482322334,0.4658073865438656,-0.5894542597734796,0.5555582487887111
topic_10_lag1,-0.252438345929757,1.3552975450885059,-0.18626046128731966,0.8522409836219205
topic_155_lag1,0.2422621196924231,1.1067176755839252,0.21890146424615564,0.8267273632909853
