Topic,Coefficient,Abs_Coefficient,Importance_Score,Cumulative_Importance
topic_136_lag1,-0.18374901527225032,0.18374901527225032,0.0026362889540924262,0.983216760517334
topic_0_lag1,-0.17267228097774476,0.17267228097774476,0.0024773685254590775,0.9856941290427931
topic_318_lag1,-0.1614634605720884,0.1614634605720884,0.002316553027318554,0.9880106820701117
topic_148_lag1,-0.13936674742933397,0.13936674742933397,0.0019995264533601473,0.9900102085234718
topic_99_lag1,0.11371667862156394,0.11371667862156394,0.001631519076724987,0.9916417276001968
topic_184_lag1,-0.09213004346973439,0.09213004346973439,0.0013218107078258484,0.9929635383080226
topic_22_lag1,-0.08525607273105297,0.08525607273105297,0.0012231882847217551,0.9941867265927444
topic_58_lag1,0.0684019701960282,0.0684019701960282,0.000981378638676065,0.9951681052314205
topic_396_lag1,-0.06763662173008443,0.06763662173008443,0.0009703980099972682,0.9961385032414178
topic_5_lag1,-0.06379644168980837,0.06379644168980837,0.0009153020727107141,0.9970538053141286
topic_16_lag1,-0.05980280561665057,0.05980280561665057,0.0008580044667848718,0.9979118097809134
topic_35_lag1,0.0569404345730733,0.0569404345730733,0.000816937377780252,0.9987287471586936
topic_115_lag1,-0.043315077812776596,0.043315077812776596,0.0006214512824152367,0.9993501984411088
topic_372_lag1,0.04177062109065036,0.04177062109065036,0.0005992926102145586,0.9999494910513234
topic_10_lag1,-0.003104009632270718,0.003104009632270718,4.4533932847625936e-05,0.999994024984171
topic_428_lag1,-0.0004164578670610766,0.0004164578670610766,5.975015828799454e-06,0.9999999999999998
